,title,fecha,copete,volanta,cuerpo,autor
32,Rosario: anuncian que si se mantiene el ritmo en menos de un mes se saturará el sistema ,2020-09-01,,Los especialistas aseguran que los equipos de salud están al límite,"""Si la ocupación de camas sigue aumentando, en menos de un mes vamos a saturar el sistema de Salud de Rosario"", señaló la infectóloga rosarina Carolina Subirá. Es que en las últimas dos semanas se duplicó la cantidad de internados por covid - 19 en esa ciudad, lo que decantó en un aumento en el número de camas UTI ocupadas. Según Mónica Jurado, directora del Hospital de Niños de Rosario, ""los equipos de salud están al límite, cansados y con casos positivos diarios"".""El porcentaje de duplicación de casos está en 11 días, con un índice de contagiosidad de 1,5, cuando deberíamos estar por debajo de uno"", explicó Jurado en declaraciones a la prensa local. En este sentido, Subirá detalló  que ""antes estábamos por debajo del 70 por ciento y ahora por encima del 80 por ciento de ocupación, lo que nos deja un espacio muy magro para recibir el impacto"". Para la infectóloga, ""el sistema de salud, tanto privado como público, está hipertrofiado al máximo, puesto en gran tensión, no nos sobran camas"".",
33,"Coronavirus: trabajadores de terapia intensiva manifestaron ""extrema"" preocupación por la ocupación de camas UTI en CABA",2020-09-01,,"Denuncian que hay un 90 % ocupado, mientras se abren los bares","""Los intensivistas tenemos una preocupación extrema. Hay una visión esquizofrénica de la realidad: mientras algunas terapias intensivas están saturadas, en las calles los bares están abiertos"", señaló en diálogo con Página|12 Arnaldo Dubin, miembro de la Sociedad Argentina de Terapia Intensiva (SATI). Es que según un relevamiento realizado por la SATI en 27 centros de salud porteños, en la última semana de agosto la ocupación de Unidades de Terapia Intensiva (UTI) alcanzó el 90 por ciento. En el Gran Buenos Aires (GBA) también hay preocupación por el impacto de la flexibilización: ""Si hay apertura de actividades en la ciudad los contagios se pueden expandir a la provincia, eso nos preocupa mucho"", afirmó Elisa Estenssoro, Jefa de Terapia Intensiva del Hospital San Martín de La Plata y ex presidenta de la SATI.  ""De un total de 649 camas UTI se observó una tasa de ocupación del 90 por ciento, el 52 por ciento con pacientes covid-19"", se puede leer en el informe de la SATI basado en un relevamiento realizado el 28 de agosto en 27 centros de salud privados y públicos de la Ciudad de Buenos Aires. ""En el sector público, representado por 210 camas UTI, la tasa de ocupación fue del 89 por ciento"", mientras que en el sector privado, ""representado por 439 camas UTI, la tasa fue del 90 por ciento"", detalla el informe. El 28 de agosto, el reporte oficial del Gobierno porteño informó que la ocupación de las 450 camas ""graves"" públicas alcanzaba el 60,6 por ciento, mientras que el último reporte, del 31 de agosto, registró un aumento para llegar al 62 por ciento. La ocupación de camas del sector privado no son informadas en el reporte oficial. ""Lo
nuestro es solamente un muestreo pero refleja lo que ocurre en las instituciones de primer nivel
tanto públicas como privadas"", explicó Dubin quien detalló que en los números oficiales ""hay un problema con la denominación de las camas ¿A qué se considera UTI? ¿Una
cama de guardia, de unidad coronaria o una sala de shockroom?"". La Asamblea de Residentes y Concurrentes de CABA viene denunciando hace meses que en las cifras oficiales se registran como ""graves"" camas adaptadas con respiradores pero que no cuentan con las condiciones necesarias ni el personal requerido para la complejidad de la pandemia. Según el último relevamiento de la Asamblea, realizado en julio, cuando el Gobierno ya informaba 450 lugares en el sector público, las camas que contaban con el personal necesario eran 274. ""El
colapso deviene de la situación del personal de la salud, el número de intensivistas es extremadamente limitado. Estamos con una sobrecarga enorme de trabajo, exhaustos anímica y físicamente. Además cuando nos contagiamos no hay reemplazo"", advirtió Dubin. Por su parte, Estenssoro añadió que la situación se agrava debido a la cantidad de tiempo que los pacientes covid pasan en las UTI: ""Es
una estadía muy prolongada. Los pacientes sufren una situación muy aguda en los primeros días y después entran en
un período de cronicidad que puede alcanzar semanas"". La Jefa de Terapia Intensiva del San Martín, que se encuentra al 90 por ciento de ocupación, explicó que ""la estimación es que el 5 por ciento de los infectados va a terapia intensiva. Los altos números de contagios del AMBA hacen que cada día aumente el ingreso de pacientes y se acumulen con los que todavía no salieron"".En este sentido, Estenssoro alertó sobre las flexibilizaciones de la cuarentena: ""Estamos en desacuerdo con las reaperturas, el primer día de bares abiertos se llenó de gente. El Gobierno de la Ciudad dice que estamos estables y no es cierto. Nos preocupa porque los contagios se expanden a la provincia, hay gente que trabaja allá y puede traer el virus"", sostuvo.En el mismo sentido se expresó Dubin, quien señaló que ""la progresiva flexibilización pone en riesgo los logros del aislamiento. Yo no comparto las visiones edulcoradas que indican que el número de casos disminuye o que estamos en una meseta, en la última semana hemos tenido un promedio cercano a los 1300 contagios por día en la ciudad"". El intensivista concluyó que ""la posibilidad de que el sistema se sature existe y la única forma de evitarlo es con aislamiento"".Informe: Santiago Brunetto ",
34,Memorial en la Pirámide,2020-09-01,,César Cigliutti,"Un grupo de militantes realizó un homenaje a César Cigliutti junto a la Pirámide de Plaza de Mayo, lugar donde inició las marchas del orgullo. Colocaron una foto, banderas y flores. ""César representa la lucha, el amor, la visibilidad, la coherencia, el coraje, el activismo, los principios, los valores y las convicciones de los derechos humanos y de las personas LGBTIQ+; es un referente, es un faro que resume en su persona maravillosa y en su trabajo de años la igualdad y el derecho a ser diferentes"", dijo el dirigente de la CHA, Pedro Paradiso Sottile.",
35,Coronavirus en Argentina: se registraron 259 muertes y 10.504 nuevos casos en las últimas 24 horas,2020-09-01,"Con los números del reporte vespertino, los casos totales confirmados desde el comienzo de la pandemia son 428.239. Los fallecimientos acumulan 8.919. Las camas de terapia intensiva están ocupadas en un 60,7 por ciento a nivel nacional y en un 69,2 por ciento en el Área Metropolitana de Buenos Aires.",El reporte del Ministerio de Salud,"El reporte del Ministerio de Salud confirmó 259 nuevas muertes de pacientes con coronavirus en las últimas 24 horas, lo que eleva la cifra de víctimas mortales en el país a 8.919. Por su parte, fueron registrados 10.504 nuevos casos reportados por la cartera que comanda Ginés González García.Con estos registros, suman 428.239 positivos en el país. Por su parte, del total de contagiados, hay 2.314 personas internadas en Unidades de Terapia Intensiva: las camas de UTI están ocupadas en un 60,7 por ciento a nivel nacional y en un 62,9 por ciento en el Área Metropolitana de Buenos Aires.📌 Del total de esos casos, 1.200 (0,3%) son importados, 97.726 (22,8%) son contactos estrechos de casos confirmados, 263.555 (61,5%) son casos de circulación comunitaria y el resto se encuentra en investigación epidemiológica.📌Desde el último reporte emitido, se notificaron 189 nuevas muertes. 95 hombres, 69 residentes en la provincia de Buenos Aires; 19 residentes en la Ciudad de Buenos Aires (CABA); 1 residentes en la provincia de Córdoba; 2 residentes en la provincia de La Rioja; 1 residente en la provincia de Neuquén; 1 residente en la provincia de Santa Cruz; 1 residente en la provincia de Santa Fe; 1 residente en la provincia de Santiago del Estero; y 94 mujeres; 63 residentes en la provincia de Buenos Aires; 19 residentes en la Ciudad de Buenos Aires (CABA); 1 residente en la provincia de La pampa; 6 residentes en la provincia de La Rioja; 1 residente en la provincia de Neuquén; 1 residente en la provincia de Río Negro; 2 residentes en la provincia de Santa Fe; 1 residentes en la provincia de Santiago del Estero. Al momento la cantidad de personas fallecidas es 8.660.📌 Detalle por provincia (Nº de confirmados | Nº de acumulados)*:Buenos Aires 6.157 | 264.950Ciudad de Buenos Aires 1.395 | 96.999Catamarca 1 | 67Chaco 75 | 5.492Chubut 56 | 955Córdoba 392 | 8.914Corrientes 3 | 314Entre Ríos 312 | 3.650Formosa -1 | 83Jujuy 124 | 8.542La Pampa 8 | 212La Rioja 40 | 1.628Mendoza 361 | 7.191Misiones 4 | 66Neuquén 136 | 3.172Río Negro 179 | 6.175Salta 183 | 3.503San Juan 0 | 223San Luis 9 | 156Santa Cruz 37 | 1.808Santa Fe 677 | 8.582Santiago del Estero 38 | 976Tierra del Fuego** 82 | 2.102Tucumán 236 | 2.479(Aclaración: aquellas provincias con dígitos en negativo han reclasificado sus casos a otras jurisdicciones según lugar de residencia)*Aquellos casos confirmados que no están notificados por residencia, fueron contabilizados por provincia de carga.**Se incluyen 13 casos existentes en las Islas Malvinas según información de prensa (debido a la ocupación ilegal del Reino Unido, Gran Bretaña e Irlanda del Norte no es posible contar con información propia sobre el impacto del COVID -19 en esa parte del territorio argentino).",
36,La aerolínea Ryanair ofrecerá un millón de pasajes a cinco euros,2020-09-01,Distintas aerolíneas europeas lanzaron campañas con promociones a días de terminar el verano y en pleno temor por los rebrotes de coronavirus.,La oferta será por dos días,"Desde que comenzó la pandemia, la imagen de aeropuertos vacíos y aviones parados se repitió en casi todas partes del mundo. El mercado aerocomercial tuvo una profunda caída en sus niveles de actividad y, sin dudas, es uno de los sectores más afectados por la crisis del coronavirus. Frente a este panorama, y en la recta final del verano europeo, distintas aerolíneas impulsaron en las últimas horas campañas con precios insólitos.  Tal es el caso de línea irlandesa de bajo costo Ryanair, quien anunció este martes que pondrá a la venta un millón de pasajes con tarifas especiales que arrancan en cinco euros. La oferta estará disponible durante las próximas 48 horas y alcanzará a los 240 destinos que tiene la compañía.La empresa detalló, a través de un comunicado, que los descuentos se aplicarán hasta la medianoche de este miércoles en los vuelos que operarán durante septiembre y octubre.""Solo durante las próximas 48 horas lanzaremos una súper promoción en un millón de asientos a tan bajo precio"", indicó Dara Brady, del departamento de Marketing y Digital de la aerolínea.La responsable de Marketing agregó que los clientes de Ryanair pueden reservar esos vuelos ""por tan solo 5 euros"" a alguno de los ""240 destinos en Europa, el norte de África y Oriente Medio"".Bajo la misma lógica se movió la aerolínea española Iberia que lanzó esta semana una campaña con descuentos en pasajes aéreos a distintas capitales de América Latina y Estados Unidos. Las ofertas abarcan todas las reservas efectuadas hasta el 16 de septiembre.Hace unos días, Ryanair anunció que reducirá su operativa en un 20% por los próximos dos meses. Se trató de una medida tomada por la compañía para hacer frente a la reducción de la demanda por la cuarentena por el coronavirus y su consecuente cierre de fronteras. Además, las empresas vinculadas al turismo están a la expectativa de tomar nuevas decisiones frente a un posible rebrote del covid-19.",
37,Caso Correas: Otros dos policías detenidos,2020-09-01,"Valentino, de 17 años, fue baleado en Córdoba cuando viajaba con unos amigos del secundario en un auto que no se detuvo en un control por la covid-19.","Son nueve uniformados imputados, cinco de ellos con preventiva","Un subcomisario y una oficial de la policía de Córdoba fueron detenidos en el marco de la investigación por la muerte de Valentino Blas Correas (17), el joven que murió baleado el 6 de agosto tras ser atacado por agentes de la fuerza de seguridad cuando circulaba en un automóvil con amigos en la capital provincial, informaron fuentes judiciales.Además, por el caso que ya tenía a otros tres policías apresados, entre ellos el presunto autor de los disparos, el fiscal José Mena imputó pero sin prisión preventiva a otros cuatro efectivos, entre ellos dos comisarios inspectores.En tanto, el expediente tiene como imputados a tres empleados de un sanatorio acusados de abandono de persona.Los nuevos detenidos son el subcomisario Sergio Alejandro González y la oficial ayudante Yamila Florencia Martínez, quienes fueron acusados por el fiscal Mena del delito de ""omisión de los deberes de funcionario público y encubrimiento agravado"".Estos dos policías ya estaban imputados en el caso pero sin prisión preventiva, pero el fiscal entendió que estando en libertad estos policías podían entorpecer la investigación y por eso solicitó que sean detenidos.“La presencia física de los imputados puede entorpecer la investigación, por eso hemos decidió proceder a la detención de los mismos, vamos a continuar porque hay abundantes pruebas relacionadas a la causa”, sostuvo Mena en relación a las nuevas aprehensiones. Además, el fiscal dispuso las imputaciones de los comisarios inspectores Walter Soria y Jorge Galleguillo, el subcomisario Enzo Qurioga y el oficial Ezequiel Finot, supuesto autor del ‘delito de lesiones leves’.Por el caso, ya estaban detenidos el cabo primero Lucas Gómez (35), quien es el presunto autor de los disparos que mataron a Valentín, el ayudante Javier Alarcón (31) y la oficial Wanda Micaela Esquivel (32).El fiscal explicó en declaraciones al canal Telefé Córdoba que “se procedió a desglosar las causas, hacer un cuerpo aparte para darle más celeridad”, respecto a la investigación que recae sobre el accionar del Sanatorio Aconcagua, donde se negaron a atender a la víctima.Tres empleados de ese sanatorio fueron imputados días después del hecho por abandono de persona, acusados de no haber asistido a Correas cuando sus amigos lo trasladaron hasta ese centro asistencial luego de recibir el balazo en el omóplato que, según la investigación preliminar, minutos más tarde le produjo la muerte.Mena aseguró que podría haber más imputaciones para personal de ese centro asistencial.“La idea es investigar todo el entramado de esta causa, no voy a dejar nada. Todos los implicados van a responder a la justicia, tenemos ya muchos imputados. No descartamos que haya más”, dijo el representante del Ministerio Público.Luego de conocerse las imputaciones recientes, el comisario general Gustavo Vélez, jefe de la Policía de Córdoba, publicó un comunicado en el que expresó su “compromiso definitivo e inclaudicable con la investigación del hecho hasta su total esclarecimiento, y la rigurosa aplicación de la ley, sin contemplaciones ni atenuantes, ante nada ni ante nadie, con el propósito de restaurar la confianza de la sociedad en su Policía y llevar sosiego a la familia de Valentino Blas”.Además, Vélez sostuvo que la acción de ‘plantar un arma’ por la que se investiga a los efectivos es “aberrante, denigra a la Policía como institución democrática y fundamentalmente lesiona la honra y la dignidad de miles de policías que cumplen cotidianamente con su deber de servir a la comunidad, honrando el uniforme de nuestra Institución”.""Este difícil momento me impone el deber funcional y moral de dedicar cada día de mi gestión, no sólo al esclarecimiento de este conmovedor hecho, sino a esclarecer y desterrar para siempre acciones de esta naturaleza, que no por aisladas dejan de ser gravísimas e intolerables para el Estado de Derecho”, agregó el jefe policial, a la vez que reiteró su “pesar más profundo por el dolor causado a las familias involucradas”.El homicidio de Correas ocurrió en la madrugada del pasado jueves 6 de agosto cuando, junto a cuatro amigos y compañeros de colegio, circulaban en un automóvil luego de reunirse en un bar. Según el sumario policial, evadieron un control policial en la zona sur de la ciudad de Córdoba. Los policías dispararon varios tiros, de los cuales cuatro impactaron contra el automóvil, uno de ellos ingresó por la luneta y se incrustó en el omóplato de Valentino, quien iba en la parte de atrás del vehículo y murió a causa de la herida.",
38,Denuncian al actor porno Ron Jeremy por otros veinte delitos sexuales ,2020-09-01,,Podría ser condenado a 250 años de prisión ,"El actor pornográfico Ron Jeremy será juzgado por otros veinte nuevos cargos de violación y delitos sexuales después de que una docena de mujeres presentase denuncias a la Fiscalía de Los Ángeles, a cargo de otras investigaciones contra la exestrella del cine para mayores.Entre los cargos anteriores y los nuevos, la Fiscalía ha reunido un total de 28 presuntos delitos por los que, de ser declarado culpable, la pena de prisión superaría los 250 años para Jeremy.Entre los presuntos delitos figura, por caso, la agresión sexual de una joven de 15 años mientras estaba dormida o inconsciente. Las trece nuevas mujeres que han denunciado recientemente al actor -con edades que van desde los 15 a los 45- situaron los episodios de agresión sexual desde el año 2004 hasta principios de 2020.Jeremy, de 67 años, es una figura de mucho peso en la industria del cine adulto, que incluso cuenta con un documental sobre su vida dirigido por Scott J. Gill y titulado Porn Star: The Legend of Ron Jeremy. El actor había sido arrestado en junio pasado por tres cargos de violación y otro de agresión sexual contra otras cuatro mujeres y desde entonces permanece en prisión preventiva. Desde su detención, las autoridades recibieron hasta 30 nuevas alegaciones de delitos sexuales, la gran mayoría sucedidos en Los Ángeles, de acuerdo a lo informado por Los Angeles Times.El delito denunciado más reciente sucedió en enero, en Hollywood, donde a la salida de un boliche el actor presuntamente violó a una joven de 21 años. Otras seis acusaciones describen hechos similares acontecidos en un bar que el actor solía frecuentar.De acuerdo con medios locales, Jeremy rechazó ayer todos los cargos durante una comparecencia, aunque no es la primera vez que el actor es acusado de delitos sexuales. La revista Rolling Stone publicó en 2017 un artículo en el que más de doce mujeres denunciaron que sufrieron abusos y agresiones sexuales por parte del actor. Algunas fueron relatadas por compañeras de profesión y otras por parte del público en actuaciones y convenciones. En ese momento, Jeremy había negado las acusaciones que aún no habían llegado a los estrados judiciales. ",
39,"A un policía le robaron el auto, lo vio en venta y fue a recuperarlo a los tiros",2020-09-01,"Un agente de la Ciudad de Buenos Aires descubrió que en Facebook vendían el auto que le habían robado en el Conurbano. Simuló estar interesado en el  vehículo y acordó realizar la operación. Al encontrarse con los delincuentes, se generó un tiroteo. La justicia investiga si el policía actuó de acuerdo a la normativa.",Un ladrón resultó herido y otro detenido en el oeste del Gran Buenos Aires,"Un policía de la Ciudad de Buenos Aires hirió a tiros a un hombre que puso a la venta en Facebook el auto que le habían robado el domingo pasado. El efectivo simuló estar interesado en la publicación y fue a recuperar su vehículo. Se investiga el accionar del agente de seguridad.El episodio comenzó el último fin de semana, cuando un agente de seguridad descubrió que el Ford Ka que había estacionado en la zona céntrica del barrio Villa Ariza, en Ituzaingó, no estaba. Se lo habían robado.Ante esta situación, concurrió a la comisaría de la zona para realizar la denuncia, aunque también puso en marcha su propia investigación. De esta forma, busco su auto en sitios web que promocionan productos automotores a ver si lograba localizarlo.Casi 24 horas después, el agente policial encontró una publicación en Facebook en donde su vehículo había sido puesto a la venta. A partir de ahí, simuló estar interesado en el aviso, le realizó consultas a los supuestos vendedores y finalmente acordó efectuar la operación.Al encontrarse en Villa Tesei, Partido de Hurlingham, se generó un enfrentamiento armado entre él y dos delincuentes. Uno de los ladrones resultó herido de un balazo en una pierna y quedó detenido junto al cómplice.Los policías del Comando de Patrullas de Morón llamaron a una ambulancia que trasladó al joven herido al Hospital Posadas, donde fue atendido y quedó con custodia policial hasta que sea llevado a un dependencia policial.El fiscal Claudio Ferrario analizaba si el policía de la Ciudad actuó de acuerdo a la normativa vigente o si hubo un exceso al intentar recuperar su auto sin esperar a los tiempos de la justicia, indicaron los voceros. El efectivo no fue detenido, pero se secuestró su arma reglamentaria para realizar pericias hasta tanto dure la investigación judicial.",
40,Coronavirus: exploran la aplicación de ibuprofeno inhalado,2020-09-01,,"Buenos Aires, Córdoba, La Rioja y Jujuy estudian una nueva terapia","Mientras avanza el estudio nacional sobre los efectos de plasma de personas recuperadas de coronavirus para tratar a pacientes graves, las provincias de Buenos Aires, Córdoba, La Rioja y Jujuy están además explorando la aplicación de ibuprofeno inhalado, que está dando ""excelentes resultados"".Aunque las autoridades del Ministerio de Salud de Córdoba fueron cautas y no brindaron información cuantitativa respecto a la aplicación del tratamiento con ibuprofeno, el director del Instituto de Investigación y Planificación Sanitaria del gobierno provincial, Rodolfo Rodríguez, aseguró que ""está dando excelentes resultados"".""Córdoba, a través del Ceprocor y sus científicos, ha podido transformar el ibuprofeno en una sustancia nebulizable y está dando excelentes resultados cuando es aplicada oportunamente"", agregó el facultativo.En tanto que desde un laboratorio privado local, que solicitó que su nombre no fuera mencionado, aseguraron que de manera privada se está aplicando el tratamiento con resultados ""excepcionales"" y que cuenta con una gran mayoría de los pacientes recuperados tras recibir el medicamento.Asimismo, afirmaron que se recuperaron más de 35 de las 40 personas que fueron tratadas con la técnica y que la cantidad de días de internación se reduce a entre 8 y 10 días, siendo de otra manera entre 15 y 17 días.En La Rioja, el director del Centro de Investigación en Medicina Traslacional, Carlos Laino, confirmó que la provincia comenzó a aplicar el tratamiento con ibuprofeno inhalado en pacientes con coronavirus.Laino dijo que ""los primeros pasos comenzaron con un proyecto de investigación para utilización de ibuprofeno por vía inhalatoria para fibrosis quística. Hace 7 años se comenzó a hacer esta nueva formulación farmacéutica"".""En algún momento con la pandemia los investigadores en Córdoba pensaron que esta formulación farmacéutica de ibuprofeno modificado, en base a la patología que se genera con la covid-19 a nivel pulmonar, podría ser de utilidad pese a que en un principio de la pandemia se dijo que no se recomendaba consumir ibuprofeno"", explicó.Luego relató que ""ellos apostaron a que podría ser de utilidad y así comenzó a usarse en Córdoba con muy buen resultado. A medida que se fue difundiendo se fueron incorporando algunos lugares de Buenos Aires, Capital y Provincia, después Jujuy y ahora nosotros""""Este ibuprofeno no es el que se vende en la farmacia, es una formulación que no está a la venta porque está en etapa de estudio clínico, por eso recalco que la gente no puede pensar que si le quedó un poco de ibuprofeno de un familiar puede nebulizar a algún paciente en su casa porque es una nueva formulación"", agregó el director.Con respecto al Centro de Investigación de Medicina Traslacional del cual está a cargo, mencionó Laino que ""fue creado mucho antes de la pandemia permitiendo ahora en este momento de pandemia tan importante que podamos comunicarnos con otros colegas investigadores y hacer los mismos estudios que hacen otros grupos de investigadores"".""Así hoy en día La Rioja puede aplicar los tratamientos con plasma y con ibuprofeno, y son ya una realidad porque hubo una decisión política del gobernador (Ricardo Quintela) y del ministro de Salud (Juan Carlos Vergara)"", señaló.Carlos Laino repitió que ""el tratamiento con plasma o ibuprofeno es para un paciente en particular. El ibuprofeno no se aplica a pacientes que recién comienzan con los síntomas, que no tienen problema para respirar, esa es la fase 1. Cuando pasamos a la fase 2 que comienza a tener molestias o dificultades para respirar, recién ahí se aplica"".""Y las evidencias nos han demostrado que en estos pacientes en particular es en los que se ha visto la mayor eficacia en el uso del ibuprofeno"", apuntó. Por último, Laino adelantó que ""ahora los investigadores están enfocándose en los pacientes que están más complicados, los que ya están con respirador mecánico. Se está viendo además como dije, si hay beneficio en ese paciente en particular"".Finalmente, en Jujuy, desde principios de agosto se aplica el tratamiento en base a ibuprofeno inhalatorio en el Hospital Oscar Orías, de la localidad de Libertador General San Martín, que fue el primero en llevar a cabo el procedimiento y los pacientes demostraron una ""rápida"" recuperación, en razón de lo cual se avanzó en extender la aplicación del mismo a otros hospitales, según lo informado oportunamente por el Comité provincial.A la fecha, el tratamieto en base a ibuprofeno se aplica en otros cincos hospitales, entre ellos, el de la localidad de Humahuaca, el de Palpalá, el de San Pedro, y en los hospitales San Roque y Pablo Soria de la capital provincial, de acuerdo a lo informado desde el ministerio de Salud, aunque sin precisiones de la cantidad de pacientes tratados hasta el momento y la evolución de los mismos.Otras provincias aún no hay experimentado con este tratamiento y apuestan a terapias tradicionales. Es el caso de Río Negro, donde la situación ha empeorado en las últimas semanas y el coordinador de evaluación de biotecnologías, Fernando Tortosa, explicó que ""no hay antivirales que hayan demostrado eficacia; en pacientes con neumonía y necesidad de oxígeno se usan dosis bajas de dexametasona; y en pacientes con neumonía graves, puede recurrirse al plasma de convalecientes, actualmente se usa en el contexto de ensayo clínico en Bariloche y como uso compasivo con esas indicaciones"".También en Santa Cruz se asiste a los pacientes con coronavirus ""con lo tradicional de los antivirales en fases tempranas"" y ""con todo el soporte de terapia de cuidados críticos"", informaronfuentes sanitarias mientras el Banco de Sangre inició la toma de muestras de plasma de recuperados para aplicar el tratamiento experimental.",
41,Las que más aportan al PBI no reciben nada,2020-09-01,"Un informe de la Dirección de Economía, Igualdad y Género ubica al trabajo doméstico y de cuidados no remunerado por encima del aporte de la industria y del comercio.",Las mujeres dedican en Argentina 96 millones de horas por día a la casa,"El trabajo doméstico y de cuidados no remunerado representa en el país un 15,9 por ciento del PBI: es el sector de mayor aporte en toda la economía, seguido por la industria (13,2 por ciento) y el comercio (13 por ciento). Es la primera vez que se hace esta medición fundamental para cuantificar la importancia de esas tareas no pagas que recaen mayoritariamente sobre las mujeres. La hizo la Dirección de Economía, Igualdad y Género. En un informe que se presentó este martes hay otro dato que impresiona: las mujeres dedican en Argentina diariamente 96 millones de horas a limpiar, cocinar, trapear, criar , hacer apoyo escolar y cuidar a personas dependientes de la familia, sin recibir ningún pago a cambio. Si se monetizara, sumaría un total de $ 3.027.433 millones de pesos al año. El estudio también evalúa cómo esta situación se vio agravada con la pandemia: mientras diversos sectores productivos presentaron caídas en su nivel de actividad, el trabajo de cuidados y doméstico, por el contrario, aumentó su nivel al 21,8 por ciento del PIB: es decir, muestra un incremento de 5,9 puntos porcentuales con respecto a la medición ""sin pandemia”.Los datos son parte del informe “Los cuidados, un sector económico estratégico. Medición del aporte del Trabajo doméstico y de cuidados no remunerado al Producto Interno Bruto” que presentó la Dirección de Economía, Igualdad y Género que conduce la economista feminista Mercedes D’Alessandro, y forma parte del Ministerio de Economía. Se trata de un documento que por primera vez estima el aporte del trabajo doméstico y de cuidados no remunerado al sistema productivo y analiza su evolución en el contexto de la pandemia por coronavirus.La distribución de estas tareas es estructuralmente desigual: 9 de cada 10 mujeres se ocupan del trabajo doméstico y de cuidados no remunerado, lo que significan en promedio 6,4 horas diarias. Ellas dedican tres veces más tiempo que los varones. “Esta distribución asimétrica contribuye a explicar que su participación en el mercado laboral sea más baja que la de los varones. También incide en que tengan trabajos más precarios, que implican a su vez una mayor desprotección social, por ejemplo no tener acceso a una obra social y, en un futuro, tener una mayor dificultad para acceder a una jubilación por no tener aportes. Las mujeres presentan mayores niveles de desocupación, ganan menos y, por consiguiente, son más pobres. En este sentido, es imprescindible entender que las condiciones del trabajo remunerado están estrechamente ligadas a cómo se resuelven las tareas no remuneradas”, alerta el estudio.En total, se calcula que se trata de un aporte de $ 4.001.047 millones de pesos, valor que resulta de monetizar la gran cantidad de tareas domésticas que se realizan en todos los hogares, todos los días. Para tener dimensión de lo que esa cifra significa, el informe precisa que la industria aporta $3.324.163 millones al PBI, y el sector del comercio, $3.267.584 millones. Al analizar el trabajo doméstico y de cuidados no pago por género, el estudio concluye que el 75,7 por ciento de las tareas son llevadas adelante por mujeres, es decir, más de las tres cuartas partes. En términos de valorización monetaria se traduce en que las mujeres aportarían $3.027.433 millones (75,7%) a la economía, mientras que los varones $973.613 millones (24,3%). “Es decir, las mujeres aportan 3 veces más al PBI en el sector con mayor relevancia y más invisibilizado de toda la economía nacional”, subraya el informe.Esta contribución a la economía total por parte de las mujeres de $3.027.433 millones al año (si se pagara), equivale a más de dos veces el tamaño del sector de Transporte y Comunicaciones o casi cuatro veces lo que aporta el sector de la Construcción, grafica el estudio. Al analizar los valores por tipo de tarea, se ve que los “quehaceres domésticos” son los que mayor peso tienen (60%), seguido del “cuidado de personas” (32,8%) y “apoyo escolar” (7,3%).El estudio también evalúa cómo esta situación se vio agravada con la pandemia: mientras diversos sectores productivos presentaron caídas en su nivel de actividad, el trabajo de cuidados, por el contrario, aumentó su nivel al 21,8 por ciento del PIB: es decir, muestra un incremento de 5,9 puntos porcentuales con respecto a la medición ""sin pandemia”. La industria, en cambio, se retrajo 3,2 puntos porcentuales, el comercio 1,5 y la construcción 2,8, indica el informe.Con el cierre de las escuelas y la imposición de la educación virtual, sin jardines de primera infancia ni empleo doméstico remunerado, durante el aislamiento social preventivo y obligatorio, sobre todo las mujeres sumaron más tareas no pagas en cada hogar. Lejos de apagarse por la crisis del coronavirus, la economía de los cuidados se enciende y sostiene el funcionamiento social, destaca el relevamiento. Se calcula que el 47,4 por ciento de los hogares argentinos tienen personas menores de 18 años.
“Esas tareas que se realizan de manera invisible, y al interior de los hogares, quedaron expuestas, dejando en evidencia las repercusiones de una nueva normalidad difícil de sostener en el tiempo sin transformaciones sustanciales”, advierte el informe.",Mariana Carbajal
42,Murió por coronavirus la madre de Mercedes Morán,2020-09-01,,La mujer tenía 97 años y estuvo dos semanas internada,"La actriz Mercedes Morán sufrió la pérdida de su madre por coronavirus. Así lo divulgó este martes a través de Twitter. “Hoy se fue mi madre. Después de batallar contra el Covid 15 días con 97 años. Mi agradecimiento eterno al personal médico del Hospital Italiano. Gracias también por todos los mensajes de amor”, escribió en la red social. ""Kuka"", la madre de la actriz, residía en Serranía, un geriátrico ubicado en Palermo. Por la pandemia, Morán no podía ir a visitarla pero se mantuvo en contacto a diario gracias a los trabajadores del geriátrico.De hecho, hace unas semanas había compartido una foto de ""Kuka"" con auriculares. “Esta foto de mi madre escuchando mi mensaje donde le digo que la amo me ayuda a comenzar el día”, escribió entonces.Morán se había mostrado de acuerdo con las medidas adoptadas por el gobierno nacional frente a la pandemia. ""Estoy confiada en lo que está haciendo Alberto Fernández y el ministro de salud. Me parece importante que estén todos juntos"", dijo en en una entrevista. ""Hay que enfrentar una enfermedad en un país que no tiene muchos recursos"", añadió, al tiempo que ""No hay que hacer un aprovechamiento político de este momento"", algo que ""me parece nefasto”.",
